520.129600	-1492.427731 
692.557200	-1496.638846 
899.414100	-1498.751460 
965.278300	-1499.119479 
1034.282100	-1499.414167 
1106.498400	-1499.648252 
1182.000400	-1499.832236 
1260.861100	-1499.974973 
1343.153700	-1500.083829 
1428.951300	-1500.164938 
1518.326900	-1500.223410 
1611.353600	-1500.263494 
1708.104600	-1500.288716 
1808.652900	-1500.301992 
1913.071600	-1500.305730 
2021.433800	-1500.301922 
2133.812600	-1500.292209 
2412.060600	-1500.253739 
2713.503400	-1500.202662 
3039.069400	-1500.146883 
